ItemNum,Condition,RT
1,control,432.3636363636364
1,script-related,585.7
1,script-unrelated,388.3
2,control,386.9
2,script-related,287.5
2,script-unrelated,377.09090909090907
3,control,439.7
3,script-related,565.2727272727273
3,script-unrelated,582.8
4,control,511.3636363636364
4,script-related,625.1
4,script-unrelated,629.2
5,control,402.7
5,script-related,285.7
5,script-unrelated,445.45454545454544
6,control,371.0
6,script-related,658.0
6,script-unrelated,709.8888888888889
7,control,425.27272727272725
7,script-related,403.1
7,script-unrelated,304.1
8,control,404.1
8,script-related,366.7
8,script-unrelated,396.09090909090907
9,control,336.0
9,script-related,566.3636363636364
9,script-unrelated,568.1
10,control,456.45454545454544
10,script-related,562.1
10,script-unrelated,360.1
11,control,407.5
11,script-related,355.7
11,script-unrelated,426.27272727272725
12,control,268.2
12,script-related,413.90909090909093
12,script-unrelated,689.0
13,control,416.09090909090907
13,script-related,426.2
13,script-unrelated,363.0
14,control,468.1
14,script-related,320.0
14,script-unrelated,590.0909090909091
15,control,292.1
15,script-related,393.3636363636364
15,script-unrelated,614.8
16,control,495.45454545454544
16,script-related,427.9
16,script-unrelated,291.1
17,control,534.1
17,script-related,412.9
17,script-unrelated,464.72727272727275
18,control,266.6
18,script-related,406.45454545454544
18,script-unrelated,429.0
19,control,496.1818181818182
19,script-related,565.7
19,script-unrelated,378.5
20,control,440.7
20,script-related,320.3
20,script-unrelated,472.1818181818182
21,control,261.8
21,script-related,376.1818181818182
21,script-unrelated,489.4
22,control,457.72727272727275
22,script-related,467.7
22,script-unrelated,310.3
23,control,427.8
23,script-related,284.6
23,script-unrelated,391.90909090909093
24,control,366.0
24,script-related,424.0
24,script-unrelated,465.4
25,control,390.27272727272725
25,script-related,495.0
25,script-unrelated,294.3
26,control,427.3
26,script-related,330.0
26,script-unrelated,405.1818181818182
27,control,415.5
27,script-related,546.1
27,script-unrelated,570.2
28,control,460.3636363636364
28,script-related,584.7
28,script-unrelated,399.5
29,control,523.7
29,script-related,266.3
29,script-unrelated,375.3636363636364
30,control,280.0
30,script-related,456.27272727272725
30,script-unrelated,449.3
31,control,535.6363636363636
31,script-related,433.6
31,script-unrelated,317.0
32,control,399.7
32,script-related,261.8
32,script-unrelated,369.6363636363636
33,control,309.1
33,script-related,472.54545454545456
33,script-unrelated,493.9
34,control,402.1818181818182
34,script-related,474.2
34,script-unrelated,365.4
35,control,415.9
35,script-related,324.8
35,script-unrelated,527.8181818181819
36,control,311.2
36,script-related,385.6363636363636
36,script-unrelated,472.2
37,control,476.72727272727275
37,script-related,674.4
