ItemNum,Condition,Subject,RT,Assoc,Plaus,Accuracy
1,control,19,841,6.8,6.416666667,1
1,control,10,754,6.8,6.416666667,1
1,control,13,1197,6.8,6.416666667,1
1,control,16,351,6.8,6.416666667,1
1,control,7,1051,6.8,6.416666667,1
1,control,31,538,6.8,6.416666667,1
1,control,4,1191,6.8,6.416666667,1
1,control,28,772,6.8,6.416666667,1
1,control,1,877,6.8,6.416666667,1
1,control,25,687,6.8,6.416666667,1
1,control,22,816,6.8,6.416666667,1
1,script-related,29,649,6.8,1.818181818,1
1,script-related,23,502,6.8,1.818181818,1
1,script-related,14,606,6.8,1.818181818,1
1,script-related,8,1032,6.8,1.818181818,1
1,script-related,17,1731,6.8,1.818181818,1
1,script-related,11,592,6.8,1.818181818,0
1,script-related,20,1061,6.8,1.818181818,1
1,script-related,5,1183,6.8,1.818181818,1
1,script-related,2,1547,6.8,1.818181818,1
1,script-related,26,791,6.8,1.818181818,1
1,script-unrelated,30,1218,1.25,3,1
1,script-unrelated,15,928,1.25,3,1
1,script-unrelated,3,474,1.25,3,1
1,script-unrelated,24,482,1.25,3,1
1,script-unrelated,6,361,1.25,3,1
1,script-unrelated,12,1086,1.25,3,1
1,script-unrelated,18,654,1.25,3,1
1,script-unrelated,9,346,1.25,3,0
1,script-unrelated,21,842,1.25,3,0
1,script-unrelated,27,717,1.25,3,1
10,control,1,686,6.6,6.583333333,1
10,control,19,678,6.6,6.583333333,1
10,control,10,1014,6.6,6.583333333,1
10,control,13,1450,6.6,6.583333333,1
10,control,22,813,6.6,6.583333333,1
10,control,7,1048,6.6,6.583333333,1
10,control,31,497,6.6,6.583333333,1
10,control,4,1074,6.6,6.583333333,0
10,control,25,526,6.6,6.583333333,1
10,control,16,690,6.6,6.583333333,1
10,control,28,567,6.6,6.583333333,1
10,script-related,14,473,6.6,1.727272727,1
10,script-related,26,538,6.6,1.727272727,1
10,script-related,20,908,6.6,1.727272727,1
10,script-related,8,493,6.6,1.727272727,0
10,script-related,2,1546,6.6,1.727272727,1
10,script-related,29,448,6.6,1.727272727,1
10,script-related,23,1083,6.6,1.727272727,1
10,script-related,11,691,6.6,1.727272727,0
10,script-related,5,1178,6.6,1.727272727,0
10,script-related,17,1978,6.6,1.727272727,1
10,script-unrelated,27,792,1.65,1.142857143,1
10,script-unrelated,12,863,1.65,1.142857143,1
10,script-unrelated,21,674,1.65,1.142857143,1
10,script-unrelated,15,1233,1.65,1.142857143,1
10,script-unrelated,3,470,1.65,1.142857143,1
10,script-unrelated,9,855,1.65,1.142857143,0
10,script-unrelated,6,601,1.65,1.142857143,1
10,script-unrelated,24,605,1.65,1.142857143,1
10,script-unrelated,18,640,1.65,1.142857143,1
10,script-unrelated,30,804,1.65,1.142857143,1
11,control,17,893,6.7,6.857142857,1
11,control,11,758,6.7,6.857142857,1
11,control,5,730,6.7,6.857142857,1
11,control,29,482,6.7,6.857142857,1
11,control,23,539,6.7,6.857142857,1
11,control,20,756,6.7,6.857142857,1
11,control,2,1389,6.7,6.857142857,1
11,control,8,876,6.7,6.857142857,1
11,control,26,568,6.7,6.857142857,1
11,control,14,620,6.7,6.857142857,1
11,script-related,27,736,6.7,2.083333333,0
11,script-related,3,436,6.7,2.083333333,1
11,script-related,30,651,6.7,2.083333333,1
11,script-related,15,844,6.7,2.083333333,0
11,script-related,24,548,6.7,2.083333333,1
11,script-related,21,1241,6.7,2.083333333,1
11,script-related,18,664,6.7,2.083333333,1
11,script-related,12,701,6.7,2.083333333,1
11,script-related,9,319,6.7,2.083333333,0
11,script-related,6,396,6.7,2.083333333,1
11,script-unrelated,25,613,1.65,4.363636364,1
11,script-unrelated,19,826,1.65,4.363636364,1
11,script-unrelated,16,273,1.65,4.363636364,1
11,script-unrelated,4,765,1.65,4.363636364,1
11,script-unrelated,7,1110,1.65,4.363636364,1
11,script-unrelated,31,456,1.65,4.363636364,1
11,script-unrelated,10,805,1.65,4.363636364,1
11,script-unrelated,13,1544,1.65,4.363636364,1
11,script-unrelated,1,810,1.65,4.363636364,1
11,script-unrelated,22,758,1.65,4.363636364,1
11,script-unrelated,28,582,1.65,4.363636364,1
12,control,3,501,6.4,5.454545455,1
12,control,30,786,6.4,5.454545455,1
12,control,12,855,6.4,5.454545455,1
12,control,24,500,6.4,5.454545455,1
12,control,18,563,6.4,5.454545455,1
12,control,15,777,6.4,5.454545455,1
12,control,9,268,6.4,5.454545455,1
12,control,27,678,6.4,5.454545455,1
12,control,6,243,6.4,5.454545455,1
12,control,21,758,6.4,5.454545455,1
12,script-related,10,1003,6.4,1.571428571,1
12,script-related,16,642,6.4,1.571428571,1
12,script-related,22,723,6.4,1.571428571,1
12,script-related,13,971,6.4,1.571428571,1
12,script-related,31,495,6.4,1.571428571,1
12,script-related,19,910,6.4,1.571428571,1
12,script-related,25,834,6.4,1.571428571,1
12,script-related,1,1032,6.4,1.571428571,0
12,script-related,28,678,6.4,1.571428571,1
12,script-related,4,873,6.4,1.571428571,1
12,script-related,7,1132,6.4,1.571428571,1
12,script-unrelated,23,685,1.65,1.333333333,1
12,script-unrelated,2,1511,1.65,1.333333333,1
12,script-unrelated,14,1362,1.65,1.333333333,1
12,script-unrelated,8,732,1.65,1.333333333,1
12,script-unrelated,5,1647,1.65,1.333333333,1
12,script-unrelated,17,1792,1.65,1.333333333,1
12,script-unrelated,29,580,1.65,1.333333333,1
12,script-unrelated,26,608,1.65,1.333333333,1
12,script-unrelated,20,999,1.65,1.333333333,1
12,script-unrelated,11,473,1.65,1.333333333,1
13,control,4,878,6.65,6.25,1
13,control,1,967,6.65,6.25,0
13,control,10,1140,6.65,6.25,1
13,control,31,508,6.65,6.25,1
13,control,19,574,6.65,6.25,1
13,control,7,897,6.65,6.25,1
13,control,22,786,6.65,6.25,1
13,control,25,468,6.65,6.25,1
13,control,13,983,6.65,6.25,1
13,control,16,643,6.65,6.25,1
13,control,28,445,6.65,6.25,1
13,script-related,14,482,6.65,2.272727273,1
13,script-related,20,744,6.65,2.272727273,1
13,script-related,17,1073,6.65,2.272727273,1
13,script-related,11,1098,6.65,2.272727273,0
13,script-related,29,389,6.65,2.272727273,1
13,script-related,26,497,6.65,2.272727273,1
13,script-related,23,668,6.65,2.272727273,1
13,script-related,5,1134,6.65,2.272727273,1
13,script-related,8,617,6.65,2.272727273,1
13,script-related,2,1202,6.65,2.272727273,1
13,script-unrelated,9,289,1.25,1.142857143,0
13,script-unrelated,27,637,1.25,1.142857143,1
13,script-unrelated,21,636,1.25,1.142857143,0
13,script-unrelated,24,1176,1.25,1.142857143,1
13,script-unrelated,3,747,1.25,1.142857143,1
13,script-unrelated,30,978,1.25,1.142857143,1
13,script-unrelated,15,590,1.25,1.142857143,1
13,script-unrelated,6,648,1.25,1.142857143,1
13,script-unrelated,18,572,1.25,1.142857143,1
13,script-unrelated,12,713,1.25,1.142857143,1
14,control,2,1257,6.5,7,1
14,control,26,861,6.5,7,1
14,control,20,826,6.5,7,1
14,control,29,424,6.5,7,1
14,control,11,787,6.5,7,1
14,control,8,1215,6.5,7,1
14,control,14,908,6.5,7,1
14,control,5,612,6.5,7,1
14,control,17,970,6.5,7,1
14,control,23,740,6.5,7,1
14,script-related,27,848,6.5,2.333333333,0
14,script-related,9,651,6.5,2.333333333,0
14,script-related,21,1002,6.5,2.333333333,1
14,script-related,12,437,6.5,2.333333333,1
14,script-related,6,439,6.5,2.333333333,1
14,script-related,18,415,6.5,2.333333333,1
14,script-related,15,803,6.5,2.333333333,0
14,script-related,3,783,6.5,2.333333333,0
14,script-related,30,583,6.5,2.333333333,1
14,script-related,24,592,6.5,2.333333333,1
14,script-unrelated,1,1112,1.2,1.727272727,1
14,script-unrelated,25,1133,1.2,1.727272727,1
14,script-unrelated,7,1530,1.2,1.727272727,1
14,script-unrelated,19,1910,1.2,1.727272727,1
14,script-unrelated,13,2258,1.2,1.727272727,1
14,script-unrelated,28,527,1.2,1.727272727,1
14,script-unrelated,10,635,1.2,1.727272727,1
14,script-unrelated,4,960,1.2,1.727272727,1
14,script-unrelated,16,555,1.2,1.727272727,1
14,script-unrelated,22,588,1.2,1.727272727,1
14,script-unrelated,31,618,1.2,1.727272727,1
15,control,24,616,6.75,6.727272727,1
15,control,6,335,6.75,6.727272727,1
15,control,21,761,6.75,6.727272727,1
15,control,18,706,6.75,6.727272727,1
15,control,3,478,6.75,6.727272727,1
15,control,15,753,6.75,6.727272727,1
15,control,27,550,6.75,6.727272727,1
15,control,12,667,6.75,6.727272727,1
15,control,9,301,6.75,6.727272727,1
15,control,30,696,6.75,6.727272727,1
15,script-related,4,871,6.75,2.285714286,1
15,script-related,28,656,6.75,2.285714286,1
15,script-related,19,788,6.75,2.285714286,1
15,script-related,13,1100,6.75,2.285714286,1
15,script-related,25,675,6.75,2.285714286,1
15,script-related,22,595,6.75,2.285714286,1
