ItemNum,Condition,Subject,RT,Assoc,Plaus,Accuracy
1,control,19,375,6.8,6.416666667,1
1,control,10,426,6.8,6.416666667,1
1,control,13,496,6.8,6.416666667,1
1,control,16,204,6.8,6.416666667,1
1,control,7,494,6.8,6.416666667,1
1,control,31,280,6.8,6.416666667,1
1,control,4,436,6.8,6.416666667,1
1,control,28,390,6.8,6.416666667,1
1,control,1,409,6.8,6.416666667,1
1,control,25,434,6.8,6.416666667,1
1,control,22,375,6.8,6.416666667,1
1,script-related,29,252,6.8,1.818181818,1
1,script-related,23,331,6.8,1.818181818,1
1,script-related,14,329,6.8,1.818181818,1
1,script-related,8,411,6.8,1.818181818,1
1,script-related,17,480,6.8,1.818181818,1
1,script-related,11,314,6.8,1.818181818,0
1,script-related,20,295,6.8,1.818181818,1
1,script-related,5,595,6.8,1.818181818,1
1,script-related,2,488,6.8,1.818181818,1
1,script-related,26,342,6.8,1.818181818,1
1,script-unrelated,30,392,1.25,3,1
1,script-unrelated,15,389,1.25,3,1
1,script-unrelated,3,232,1.25,3,1
1,script-unrelated,24,293,1.25,3,1
1,script-unrelated,6,189,1.25,3,1
1,script-unrelated,12,266,1.25,3,1
1,script-unrelated,18,389,1.25,3,1
1,script-unrelated,9,206,1.25,3,0
1,script-unrelated,21,412,1.25,3,0
1,script-unrelated,27,457,1.25,3,1
10,control,1,336,6.6,6.583333333,1
10,control,19,348,6.6,6.583333333,1
10,control,10,415,6.6,6.583333333,1
10,control,13,408,6.6,6.583333333,1
10,control,22,365,6.6,6.583333333,1
10,control,7,468,6.6,6.583333333,1
10,control,31,239,6.6,6.583333333,1
10,control,4,485,6.6,6.583333333,0
10,control,25,294,6.6,6.583333333,1
10,control,16,342,6.6,6.583333333,1
10,control,28,322,6.6,6.583333333,1
10,script-related,14,219,6.6,1.727272727,1
10,script-related,26,300,6.6,1.727272727,1
10,script-related,20,383,6.6,1.727272727,1
10,script-related,8,249,6.6,1.727272727,0
10,script-related,2,308,6.6,1.727272727,1
10,script-related,29,227,6.6,1.727272727,1
10,script-related,23,538,6.6,1.727272727,1
10,script-related,11,342,6.6,1.727272727,0
10,script-related,5,507,6.6,1.727272727,0
10,script-related,17,642,6.6,1.727272727,1
10,script-unrelated,27,347,1.65,1.142857143,1
10,script-unrelated,12,357,1.65,1.142857143,1
10,script-unrelated,21,407,1.65,1.142857143,1
10,script-unrelated,15,436,1.65,1.142857143,1
10,script-unrelated,3,254,1.65,1.142857143,1
10,script-unrelated,9,704,1.65,1.142857143,0
10,script-unrelated,6,282,1.65,1.142857143,1
10,script-unrelated,24,369,1.65,1.142857143,1
10,script-unrelated,18,317,1.65,1.142857143,1
10,script-unrelated,30,463,1.65,1.142857143,1
11,control,17,421,6.7,6.857142857,1
11,control,11,387,6.7,6.857142857,1
11,control,5,422,6.7,6.857142857,1
11,control,29,240,6.7,6.857142857,1
11,control,23,280,6.7,6.857142857,1
11,control,20,366,6.7,6.857142857,1
11,control,2,296,6.7,6.857142857,1
11,control,8,494,6.7,6.857142857,1
11,control,26,290,6.7,6.857142857,1
11,control,14,340,6.7,6.857142857,1
11,script-related,27,360,6.7,2.083333333,0
11,script-related,3,230,6.7,2.083333333,1
11,script-related,30,372,6.7,2.083333333,1
11,script-related,15,389,6.7,2.083333333,0
11,script-related,24,280,6.7,2.083333333,1
11,script-related,21,367,6.7,2.083333333,1
11,script-related,18,321,6.7,2.083333333,1
11,script-related,12,331,6.7,2.083333333,1
11,script-related,9,160,6.7,2.083333333,0
11,script-related,6,169,6.7,2.083333333,1
11,script-unrelated,25,320,1.65,4.363636364,1
11,script-unrelated,19,314,1.65,4.363636364,1
11,script-unrelated,16,117,1.65,4.363636364,1
11,script-unrelated,4,395,1.65,4.363636364,1
11,script-unrelated,7,519,1.65,4.363636364,1
11,script-unrelated,31,223,1.65,4.363636364,1
11,script-unrelated,10,439,1.65,4.363636364,1
11,script-unrelated,13,560,1.65,4.363636364,1
11,script-unrelated,1,356,1.65,4.363636364,1
11,script-unrelated,22,346,1.65,4.363636364,1
11,script-unrelated,28,264,1.65,4.363636364,1
12,control,3,261,6.4,5.454545455,1
12,control,30,401,6.4,5.454545455,1
12,control,12,549,6.4,5.454545455,1
12,control,24,245,6.4,5.454545455,1
12,control,18,316,6.4,5.454545455,1
12,control,15,384,6.4,5.454545455,1
12,control,9,143,6.4,5.454545455,1
12,control,27,479,6.4,5.454545455,1
12,control,6,90,6.4,5.454545455,1
12,control,21,379,6.4,5.454545455,1
12,script-related,10,401,6.4,1.571428571,1
12,script-related,16,400,6.4,1.571428571,1
12,script-related,22,415,6.4,1.571428571,1
12,script-related,13,467,6.4,1.571428571,1
12,script-related,31,254,6.4,1.571428571,1
12,script-related,19,421,6.4,1.571428571,1
12,script-related,25,657,6.4,1.571428571,1
12,script-related,1,383,6.4,1.571428571,0
12,script-related,28,393,6.4,1.571428571,1
12,script-related,4,415,6.4,1.571428571,1
12,script-related,7,534,6.4,1.571428571,1
12,script-unrelated,23,311,1.65,1.333333333,1
12,script-unrelated,2,299,1.65,1.333333333,1
12,script-unrelated,14,442,1.65,1.333333333,1
12,script-unrelated,8,395,1.65,1.333333333,1
12,script-unrelated,5,435,1.65,1.333333333,1
12,script-unrelated,17,531,1.65,1.333333333,1
12,script-unrelated,29,292,1.65,1.333333333,1
12,script-unrelated,26,314,1.65,1.333333333,1
12,script-unrelated,20,228,1.65,1.333333333,1
12,script-unrelated,11,252,1.65,1.333333333,1
13,control,4,385,6.65,6.25,1
13,control,1,404,6.65,6.25,0
13,control,10,419,6.65,6.25,1
13,control,31,244,6.65,6.25,1
13,control,19,252,6.65,6.25,1
13,control,7,398,6.65,6.25,1
13,control,22,356,6.65,6.25,1
13,control,25,237,6.65,6.25,1
13,control,13,489,6.65,6.25,1
13,control,16,319,6.65,6.25,1
13,control,28,209,6.65,6.25,1
13,script-related,14,264,6.65,2.272727273,1
13,script-related,20,274,6.65,2.272727273,1
13,script-related,17,574,6.65,2.272727273,1
13,script-related,11,766,6.65,2.272727273,0
13,script-related,29,202,6.65,2.272727273,1
13,script-related,26,247,6.65,2.272727273,1
13,script-related,23,335,6.65,2.272727273,1
13,script-related,5,347,6.65,2.272727273,1
13,script-related,8,359,6.65,2.272727273,1
13,script-related,2,274,6.65,2.272727273,1
13,script-unrelated,9,121,1.25,1.142857143,0
13,script-unrelated,27,336,1.25,1.142857143,1
13,script-unrelated,21,323,1.25,1.142857143,0
13,script-unrelated,24,351,1.25,1.142857143,1
13,script-unrelated,3,243,1.25,1.142857143,1
13,script-unrelated,30,393,1.25,1.142857143,1
13,script-unrelated,15,313,1.25,1.142857143,1
13,script-unrelated,6,411,1.25,1.142857143,1
13,script-unrelated,18,300,1.25,1.142857143,1
13,script-unrelated,12,565,1.25,1.142857143,1
14,control,2,562,6.5,7,1
14,control,26,401,6.5,7,1
14,control,20,421,6.5,7,1
14,control,29,211,6.5,7,1
14,control,11,377,6.5,7,1
14,control,8,513,6.5,7,1
14,control,14,428,6.5,7,1
14,control,5,259,6.5,7,1
14,control,17,491,6.5,7,1
14,control,23,256,6.5,7,1
14,script-related,27,452,6.5,2.333333333,0
14,script-related,9,359,6.5,2.333333333,0
14,script-related,21,462,6.5,2.333333333,1
14,script-related,12,242,6.5,2.333333333,1
14,script-related,6,170,6.5,2.333333333,1
14,script-related,18,211,6.5,2.333333333,1
14,script-related,15,442,6.5,2.333333333,0
14,script-related,3,371,6.5,2.333333333,0
14,script-related,30,281,6.5,2.333333333,1
14,script-related,24,363,6.5,2.333333333,1
14,script-unrelated,1,483,1.2,1.727272727,1
14,script-unrelated,25,546,1.2,1.727272727,1
14,script-unrelated,7,741,1.2,1.727272727,1
14,script-unrelated,19,829,1.2,1.727272727,1
14,script-unrelated,13,705,1.2,1.727272727,1
14,script-unrelated,28,262,1.2,1.727272727,1
14,script-unrelated,10,327,1.2,1.727272727,1
14,script-unrelated,4,454,1.2,1.727272727,1
14,script-unrelated,16,349,1.2,1.727272727,1
14,script-unrelated,22,312,1.2,1.727272727,1
14,script-unrelated,31,327,1.2,1.727272727,1
15,control,24,330,6.75,6.727272727,1
15,control,6,164,6.75,6.727272727,1
15,control,21,360,6.75,6.727272727,1
15,control,18,333,6.75,6.727272727,1
15,control,3,279,6.75,6.727272727,1
15,control,15,344,6.75,6.727272727,1
15,control,27,326,6.75,6.727272727,1
15,control,12,343,6.75,6.727272727,1
15,control,9,147,6.75,6.727272727,1
15,control,30,316,6.75,6.727272727,1
15,script-related,4,357,6.75,2.285714286,1
15,script-related,28,227,6.75,2.285714286,1
15,script-related,19,369,6.75,2.285714286,1
15,script-related,13,522,6.75,2.285714286,1
15,script-related,25,391,6.75,2.285714286,1
15,script-related,22,271,6.75,2.285714286,1
15,script-related,16,185,6.75,2.285714286,1
15,script-related,10,397,6.75,2.285714286,1
15,script-related,7,459,6.75,2.285714286,1
15,script-related,1,437,6.75,2.285714286,1
15,script-related,31,330,6.75,2.285714286,1
15,script-unrelated,5,540,1.2,1.583333333,1
15,script-unrelated,14,372,1.2,1.583333333,1
15,script-unrelated,23,311,1.2,1.583333333,1
15,script-unrelated,26,302,1.2,1.583333333,1
15,script-unrelated,17,631,1.2,1.583333333,1
15,script-unrelated,20,251,1.2,1.583333333,1
15,script-unrelated,29,206,1.2,1.583333333,1
15,script-unrelated,8,497,1.2,1.583333333,1
15,script-unrelated,11,267,1.2,1.583333333,1
15,script-unrelated,2,493,1.2,1.583333333,1
16,control,13,409,6.45,5.416666667,1
16,control,10,511,6.45,5.416666667,1
16,control,19,368,6.45,5.416666667,1
16,control,22,457,6.45,5.416666667,1
16,control,28,272,6.45,5.416666667,1
16,control,7,425,6.45,5.416666667,1
16,control,1,345,6.45,5.416666667,1
16,control,25,219,6.45,5.416666667,1
16,control,16,239,6.45,5.416666667,0
16,control,31,240,6.45,5.416666667,1
16,control,4,492,6.45,5.416666667,1
16,script-related,20,413,6.45,3.181818182,1
16,script-related,11,325,6.45,3.181818182,0
16,script-related,5,750,6.45,3.181818182,1
16,script-related,8,460,6.45,3.181818182,0
16,script-related,23,419,6.45,3.181818182,1
16,script-related,17,513,6.45,3.181818182,1
16,script-related,26,266,6.45,3.181818182,1
16,script-related,14,432,6.45,3.181818182,1
16,script-related,2,348,6.45,3.181818182,1
16,script-related,29,239,6.45,3.181818182,0
16,script-unrelated,12,409,1.7,1,1
16,script-unrelated,6,324,1.7,1,1
16,script-unrelated,18,332,1.7,1,1
16,script-unrelated,9,191,1.7,1,0
16,script-unrelated,24,340,1.7,1,1
16,script-unrelated,3,265,1.7,1,1
16,script-unrelated,30,411,1.7,1,1
16,script-unrelated,27,337,1.7,1,1
16,script-unrelated,21,413,1.7,1,0
16,script-unrelated,15,318,1.7,1,1
17,control,5,399,6.2,6,1
17,control,14,461,6.2,6,1
17,control,8,477,6.2,6,1
17,control,26,280,6.2,6,1
17,control,29,217,6.2,6,1
17,control,23,287,6.2,6,1
17,control,11,1306,6.2,6,1
17,control,20,351,6.2,6,1
17,control,2,371,6.2,6,1
17,control,17,683,6.2,6,1
17,script-related,6,207,6.2,2,1
17,script-related,27,439,6.2,2,1
17,script-related,9,259,6.2,2,0
17,script-related,24,247,6.2,2,1
17,script-related,30,339,6.2,2,1
17,script-related,18,480,6.2,2,1
17,script-related,21,491,6.2,2,1
17,script-related,15,365,6.2,2,0
17,script-related,3,361,6.2,2,1
17,script-related,12,271,6.2,2,1
17,script-unrelated,4,448,1.8,1.818181818,1
17,script-unrelated,13,433,1.8,1.818181818,1
17,script-unrelated,31,327,1.8,1.818181818,1
17,script-unrelated,10,424,1.8,1.818181818,0
17,script-unrelated,28,183,1.8,1.818181818,1
17,script-unrelated,25,500,1.8,1.818181818,1
17,script-unrelated,7,604,1.8,1.818181818,1
17,script-unrelated,22,280,1.8,1.818181818,1
17,script-unrelated,16,455,1.8,1.818181818,1
17,script-unrelated,19,657,1.8,1.818181818,1
17,script-unrelated,1,469,1.8,1.818181818,0
18,control,24,234,6.6,6.545454545,1
18,control,6,152,6.6,6.545454545,1
18,control,3,232,6.6,6.545454545,1
18,control,9,133,6.6,6.545454545,1
18,control,30,836,6.6,6.545454545,1
