ItemNum,Condition,Subject,RT,Assoc,Plaus,Accuracy
1,control,19,466,6.8,6.416666667,1
1,control,10,328,6.8,6.416666667,1
1,control,13,701,6.8,6.416666667,1
1,control,16,147,6.8,6.416666667,1
1,control,7,557,6.8,6.416666667,1
1,control,31,258,6.8,6.416666667,1
1,control,4,755,6.8,6.416666667,1
1,control,28,382,6.8,6.416666667,1
1,control,1,468,6.8,6.416666667,1
1,control,25,253,6.8,6.416666667,1
1,control,22,441,6.8,6.416666667,1
1,script-related,29,397,6.8,1.818181818,1
1,script-related,23,171,6.8,1.818181818,1
1,script-related,14,277,6.8,1.818181818,1
1,script-related,8,621,6.8,1.818181818,1
1,script-related,17,1251,6.8,1.818181818,1
1,script-related,11,278,6.8,1.818181818,0
1,script-related,20,766,6.8,1.818181818,1
1,script-related,5,588,6.8,1.818181818,1
1,script-related,2,1059,6.8,1.818181818,1
1,script-related,26,449,6.8,1.818181818,1
1,script-unrelated,30,826,1.25,3,1
1,script-unrelated,15,539,1.25,3,1
1,script-unrelated,3,242,1.25,3,1
1,script-unrelated,24,189,1.25,3,1
1,script-unrelated,6,172,1.25,3,1
1,script-unrelated,12,820,1.25,3,1
1,script-unrelated,18,265,1.25,3,1
1,script-unrelated,9,140,1.25,3,0
1,script-unrelated,21,430,1.25,3,0
1,script-unrelated,27,260,1.25,3,1
10,control,1,350,6.6,6.583333333,1
10,control,19,330,6.6,6.583333333,1
10,control,10,599,6.6,6.583333333,1
10,control,13,1042,6.6,6.583333333,1
10,control,22,448,6.6,6.583333333,1
10,control,7,580,6.6,6.583333333,1
10,control,31,258,6.6,6.583333333,1
10,control,4,589,6.6,6.583333333,0
10,control,25,232,6.6,6.583333333,1
10,control,16,348,6.6,6.583333333,1
10,control,28,245,6.6,6.583333333,1
10,script-related,14,254,6.6,1.727272727,1
10,script-related,26,238,6.6,1.727272727,1
10,script-related,20,525,6.6,1.727272727,1
10,script-related,8,244,6.6,1.727272727,0
10,script-related,2,1238,6.6,1.727272727,1
10,script-related,29,221,6.6,1.727272727,1
10,script-related,23,545,6.6,1.727272727,1
